sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstinc2,special2,meals2,open2,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,fte_before,fte_after,treated
46,1,0,0,0,0,0,1,0,0,0,30,15,3,,19,.,1,.,2,6.5,16.5,1.03,1.03,0.52,3,3,1,1,111792,1,3.5,35,3,4.3,26,0.08,1,2,6.5,16.5,1.03,.,0.94,4,4,40.5,24,0
49,2,0,0,0,0,0,1,0,0,0,6.5,6.5,4,,26,.,0,.,2,10,13,1.01,0.9,2.35,4,3,1,1,111292,.,0,15,4,4.45,13,0.05,0,2,10,13,1.01,0.89,2.35,4,4,13.75,11.5,0
506,2,1,0,0,0,0,1,0,0,0,3,7,2,,13,0.37,0,30,2,11,10,0.95,0.74,2.33,3,3,1,1,111292,.,3,7,4,5,19,0.25,.,1,11,11,0.95,0.74,2.33,4,3,8.5,10.5,0
56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,0.1,1,0,2,10,12,0.87,0.82,1.79,2,2,1,1,111492,.,0,36,2,5.25,26,0.15,0,2,10,12,0.92,0.79,0.87,2,2,34,20,0
61,4,1,0,0,0,0,1,0,0,0,6,26,5,5.5,52,0.15,1,0,3,10,12,0.87,0.77,1.65,2,2,1,1,111492,.,28,3,6,4.75,13,0.15,0,2,10,12,1.01,0.84,0.95,2,2,24,35.5,0
62,4,1,0,0,0,0,1,0,0,2,0,31,5,5,26,0.07,0,45,2,10,12,0.87,0.77,0.95,2,2,1,1,111492,.,,,,,26,.,0,2,10,12,.,0.84,1.79,3,3,20.5,,0
445,1,0,0,0,0,0,0,1,0,0,50,35,3,5,26,0.1,0,0,2,6,18,1.04,0.88,0.94,3,3,1,1,110792,.,15,18,5,4.75,26,0.15,0,2,6,18,1.04,0.86,0.94,3,3,70.5,29,0
451,1,0,0,0,0,0,0,1,0,0,10,17,5,5,52,0.25,0,0,2,0,24,1.05,0.84,0.96,6,4,1,1,111792,2,26,9,6,5,26,0.2,0,2,0,24,1.11,0.84,0.94,6,3,23.5,36.5,0
455,2,1,0,0,0,0,0,1,0,0,2,8,5,5.25,13,0.25,0,0,1,11,10,0.73,0.73,2.32,2,2,1,1,111292,.,3,12,2,5,13,0.25,0,2,11,11,0.94,0.84,2.32,4,3,11,11,0
458,2,1,0,0,0,0,1,0,0,2,2,10,2,5,19,0.15,0,0,1,11,10,0.94,0.73,2.32,4,4,1,1,111792,1,2,9,2,5,13,0.25,0,1,11,10.5,0.9,0.73,2.32,4,3,9,8.5,0
462,3,1,0,0,0,0,0,1,0,0,2.5,20,3,5,13,0.37,1,5,2,9,12.5,1.05,1.01,1.11,4,4,2,1,122292,1,1,25,4,4.75,13,0.2,0,2,9,12,1.01,1.01,0.89,6,3,15.5,17.5,0
468,1,0,0,0,0,0,0,1,0,0,40,30,3,5,13,0.17,0,0,2,6,18,0.95,0.94,0.95,4,3,1,1,110792,.,9,32,4,5,26,0.13,1,2,6,18,0.97,0.84,0.86,4,3,58,29,0
469,1,0,0,0,0,0,0,1,0,0,8,27,5,5,39,0.25,0,80,2,6,18,0.92,0.72,0.96,3,2,1,1,111692,1,7,39,4,4.5,41,0.23,0,2,6,18,0.92,0.81,0.87,3,3,26.5,30.5,0
470,1,0,0,0,0,0,0,1,0,0,10.5,30,3,5.5,.,0.3,0,0,2,6,18,0.97,0.84,0.94,3,3,1,1,111792,2,18,10,3,4.75,13,0.15,1,2,6,18,1.03,0.84,0.94,3,2,28.5,26,0
474,1,0,0,0,0,0,0,1,0,2,6,9,3,5,26,0.37,0,0,2,9,12.5,1.13,0.98,1.01,3,1,2,1,122292,1,5,20,3,4.5,.,0,0,2,8.5,13,1.09,0.94,0.94,3,2,13.5,18,0
481,2,1,0,0,0,0,0,1,0,2,5,17.5,3,5.25,26,0.25,1,0,3,11,10,0.95,0.74,2.53,5,4,1,1,111792,2,15,4,3,5,26,0.25,1,2,11,11,0.74,0.73,2.53,3,3,16.75,20,0
483,2,1,0,0,0,0,0,1,0,0,1,15,1,5,13,0.07,1,0,2,11,10,0.94,0.73,2.32,4,3,1,1,111292,.,4,13,3,4.75,13,0.18,0,1,11,11,0.95,0.74,2.33,4,3,9.5,13.5,0
487,3,1,0,0,0,0,0,1,0,0,10,6,2,5,13,0.17,1,0,2,10,11.5,1.11,0.91,0.95,6,3,1,1,111192,.,6,20,3,4.75,26,0.1,0,2,10.5,11,1.05,1.01,0.94,6,1,15,19,0
